0.000	  0.00000  0.00000  0.00000
0.005	  0.00000  0.00000  0.00000
0.010	  0.00000 -0.00000 -0.00000
0.015	  0.00000  2.09456 -4.18912
0.020	  0.00000  1.92132 -3.84265
0.025	 -0.00001  1.77829 -3.55658
0.030	 -0.00003  1.65506 -3.31009
0.035	 -0.00010  1.54631 -3.09250
0.040	  0.00050  1.44835 -2.89735
0.045	  0.00014  1.36011 -2.72041
0.050	  0.00010  1.27926 -2.55865
0.055	  0.00009  1.20487 -2.40986
0.060	  0.00009  1.13610 -2.27232
0.065	  0.00009  1.07228 -2.14468
0.070	  0.00009  1.01286 -2.02585
0.075	  0.00010  0.95739 -1.91492
0.080	  0.00010  0.90550 -1.81114
0.085	  0.00011  0.85686 -1.71387
0.090	  0.00012  0.81119 -1.62254
0.095	  0.00013  0.76826 -1.53668
0.100	  0.00013  0.72784 -1.45587
0.105	  0.00014  0.68976 -1.37972
0.110	  0.00015  0.65385 -1.30791
0.115	  0.00016  0.61996 -1.24013
0.120	  0.00017  0.58794 -1.17611
0.125	  0.00018  0.55768 -1.11561
0.130	  0.00019  0.52908 -1.05841
0.135	  0.00021  0.50201 -1.00430
0.140	  0.00022  0.47640 -0.95309
0.145	  0.00023  0.45215 -0.90461
0.150	  0.00024  0.42918 -0.85870
0.155	  0.00026  0.40743 -0.81521
0.160	  0.00027  0.38682 -0.77401
0.165	  0.00029  0.36729 -0.73496
0.170	  0.00030  0.34877 -0.69795
0.175	  0.00032  0.33122 -0.66288
0.180	  0.00034  0.31459 -0.62962
0.185	  0.00035  0.29881 -0.59809
0.190	  0.00037  0.28385 -0.56820
0.195	  0.00039  0.26967 -0.53986
0.200	  0.00041  0.25622 -0.51298
0.205	  0.00043  0.24347 -0.48750
0.210	  0.00045  0.23138 -0.46335
0.215	  0.00047  0.21991 -0.44045
0.220	  0.00049  0.20905 -0.41875
0.225	  0.00051  0.19875 -0.39818
0.230	  0.00053  0.18899 -0.37869
0.235	  0.00055  0.17975 -0.36023
0.240	  0.00058  0.17099 -0.34275
0.245	  0.00060  0.16270 -0.32620
0.250	  0.00062  0.15485 -0.31054
0.255	  0.00065  0.14743 -0.29572
0.260	  0.00067  0.14041 -0.28172
0.265	  0.00070  0.13378 -0.26849
0.270	  0.00072  0.12751 -0.25599
0.275	  0.00075  0.12160 -0.24420
0.280	  0.00078  0.11603 -0.23309
0.285	  0.00080  0.11077 -0.22262
0.290	  0.00083  0.10583 -0.21278
0.295	  0.00086  0.10119 -0.20353
0.300	  0.00089  0.09683 -0.19485
0.305	  0.00092  0.09274 -0.18671
0.310	  0.00095  0.08892 -0.17911
0.315	  0.00098  0.08535 -0.17201
0.320	  0.00101  0.08203 -0.16540
0.325	  0.00104  0.07893 -0.15926
0.330	  0.00107  0.07607 -0.15356
0.335	  0.00111  0.07342 -0.14831
0.340	  0.00114  0.07097 -0.14346
0.345	  0.00117  0.06873 -0.13902
0.350	  0.00121  0.06667 -0.13496
0.355	  0.00124  0.06480 -0.13126
0.360	  0.00128  0.06311 -0.12792
0.365	  0.00131  0.06158 -0.12491
0.370	  0.00135  0.06021 -0.12221
0.375	  0.00138  0.05899 -0.11982
0.380	  0.00142  0.05791 -0.11772
0.385	  0.00146  0.05697 -0.11588
0.390	  0.00149  0.05615 -0.11429
0.395	  0.00153  0.05545 -0.11294
0.400	  0.00157  0.05486 -0.11182
0.405	  0.00161  0.05437 -0.11089
0.410	  0.00165  0.05398 -0.11016
0.415	  0.00169  0.05367 -0.10960
0.420	  0.00173  0.05345 -0.10921
0.425	  0.00177  0.05330 -0.10896
0.430	  0.00181  0.05322 -0.10885
0.435	  0.00186  0.05319 -0.10886
0.440	  0.00190  0.05323 -0.10899
0.445	  0.00194  0.05331 -0.10922
0.450	  0.00199  0.05344 -0.10954
0.455	  0.00203  0.05362 -0.10994
0.460	  0.00207  0.05383 -0.11042
0.465	  0.00212  0.05407 -0.11097
0.470	  0.00216  0.05434 -0.11157
0.475	  0.00221  0.05465 -0.11224
0.480	  0.00226  0.05497 -0.11295
0.485	  0.00230  0.05532 -0.11371
0.490	  0.00235  0.05568 -0.11450
0.495	  0.00240  0.05607 -0.11533
0.500	  0.00245  0.05647 -0.11620
0.505	  0.00249  0.05688 -0.11709
0.510	  0.00254  0.05731 -0.11800
0.515	  0.00259  0.05774 -0.11894
0.520	  0.00264  0.05819 -0.11990
0.525	  0.00269  0.05864 -0.12087
0.530	  0.00275  0.05910 -0.12187
0.535	  0.00280  0.05957 -0.12287
0.540	  0.00285  0.06004 -0.12389
0.545	  0.00290  0.06052 -0.12492
0.550	  0.00295  0.06101 -0.12596
0.555	  0.00301  0.06150 -0.12700
0.560	  0.00306  0.06199 -0.12806
0.565	  0.00312  0.06248 -0.12912
0.570	  0.00317  0.06298 -0.13019
0.575	  0.00323  0.06348 -0.13126
0.580	  0.00328  0.06398 -0.13234
0.585	  0.00334  0.06449 -0.13342
0.590	  0.00340  0.06499 -0.13451
0.595	  0.00345  0.06550 -0.13560
