0.000	  0.00000  0.78540
0.005	  0.00000  0.78540
0.010	 -0.00000  0.78540
0.015	 -0.00001  0.78542
0.020	 -0.00001  0.78543
0.025	 -0.00002  0.78545
0.030	 -0.00003  0.78548
0.035	 -0.00004  0.78552
0.040	 -0.00005  0.78556
0.045	 -0.00007  0.78560
0.050	 -0.00008  0.78565
0.055	 -0.00010  0.78571
0.060	 -0.00012  0.78577
0.065	 -0.00015  0.78584
0.070	 -0.00017  0.78591
0.075	 -0.00020  0.78599
0.080	 -0.00022  0.78607
0.085	 -0.00025  0.78616
0.090	 -0.00029  0.78625
0.095	 -0.00032  0.78635
0.100	 -0.00035  0.78645
0.105	 -0.00039  0.78656
0.110	 -0.00043  0.78668
0.115	 -0.00047  0.78680
0.120	 -0.00051  0.78693
0.125	 -0.00056  0.78706
0.130	 -0.00060  0.78719
0.135	 -0.00065  0.78734
0.140	 -0.00070  0.78748
0.145	 -0.00075  0.78764
0.150	 -0.00080  0.78779
0.155	 -0.00086  0.78796
0.160	 -0.00091  0.78812
0.165	 -0.00097  0.78830
0.170	 -0.00103  0.78848
0.175	 -0.00109  0.78866
0.180	 -0.00115  0.78885
0.185	 -0.00122  0.78904
0.190	 -0.00128  0.78924
0.195	 -0.00135  0.78945
0.200	 -0.00142  0.78966
0.205	 -0.00149  0.78987
0.210	 -0.00157  0.79009
0.215	 -0.00164  0.79032
0.220	 -0.00172  0.79055
0.225	 -0.00180  0.79078
0.230	 -0.00188  0.79102
0.235	 -0.00196  0.79127
0.240	 -0.00204  0.79152
0.245	 -0.00213  0.79177
0.250	 -0.00221  0.79203
0.255	 -0.00230  0.79230
0.260	 -0.00239  0.79257
0.265	 -0.00248  0.79284
0.270	 -0.00258  0.79313
0.275	 -0.00267  0.79341
0.280	 -0.00277  0.79370
0.285	 -0.00287  0.79400
0.290	 -0.00297  0.79430
0.295	 -0.00307  0.79460
0.300	 -0.00317  0.79491
0.305	 -0.00328  0.79523
0.310	 -0.00338  0.79555
0.315	 -0.00349  0.79587
0.320	 -0.00360  0.79620
0.325	 -0.00371  0.79654
0.330	 -0.00382  0.79688
0.335	 -0.00394  0.79722
0.340	 -0.00405  0.79757
0.345	 -0.00417  0.79793
0.350	 -0.00429  0.79829
0.355	 -0.00441  0.79865
0.360	 -0.00453  0.79902
0.365	 -0.00465  0.79939
0.370	 -0.00478  0.79977
0.375	 -0.00491  0.80015
0.380	 -0.00503  0.80054
0.385	 -0.00516  0.80093
0.390	 -0.00529  0.80133
0.395	 -0.00543  0.80173
0.400	 -0.00556  0.80214
0.405	 -0.00570  0.80255
0.410	 -0.00583  0.80296
0.415	 -0.00597  0.80339
0.420	 -0.00611  0.80381
0.425	 -0.00625  0.80424
0.430	 -0.00640  0.80467
0.435	 -0.00654  0.80511
0.440	 -0.00669  0.80556
0.445	 -0.00683  0.80601
0.450	 -0.00698  0.80646
0.455	 -0.00713  0.80692
0.460	 -0.00728  0.80738
0.465	 -0.00744  0.80784
0.470	 -0.00759  0.80831
0.475	 -0.00775  0.80879
0.480	 -0.00791  0.80927
0.485	 -0.00806  0.80975
0.490	 -0.00822  0.81024
0.495	 -0.00839  0.81074
0.500	 -0.00855  0.81123
0.505	 -0.00871  0.81173
0.510	 -0.00888  0.81224
0.515	 -0.00904  0.81275
0.520	 -0.00921  0.81327
0.525	 -0.00938  0.81379
0.530	 -0.00955  0.81431
0.535	 -0.00972  0.81484
0.540	 -0.00990  0.81537
0.545	 -0.01007  0.81591
0.550	 -0.01025  0.81645
0.555	 -0.01043  0.81699
0.560	 -0.01061  0.81754
0.565	 -0.01079  0.81810
0.570	 -0.01097  0.81865
0.575	 -0.01115  0.81922
0.580	 -0.01133  0.81978
0.585	 -0.01152  0.82035
0.590	 -0.01170  0.82093
0.595	 -0.01189  0.82151
0.600	 -0.01208  0.82209
0.605	 -0.01227  0.82268
0.610	 -0.01246  0.82327
0.615	 -0.01265  0.82386
0.620	 -0.01285  0.82446
0.625	 -0.01304  0.82507
0.630	 -0.01324  0.82568
0.635	 -0.01344  0.82629
0.640	 -0.01364  0.82690
0.645	 -0.01383  0.82752
0.650	 -0.01404  0.82815
0.655	 -0.01424  0.82877
0.660	 -0.01444  0.82940
0.665	 -0.01464  0.83004
0.670	 -0.01485  0.83068
0.675	 -0.01506  0.83132
0.680	 -0.01526  0.83197
0.685	 -0.01547  0.83262
0.690	 -0.01568  0.83328
0.695	 -0.01589  0.83393
0.700	 -0.01611  0.83460
0.705	 -0.01632  0.83526
0.710	 -0.01653  0.83593
0.715	 -0.01675  0.83661
0.720	 -0.01697  0.83729
0.725	 -0.01718  0.83797
0.730	 -0.01740  0.83865
0.735	 -0.01762  0.83934
